95,person,0.76,2,0,235,52,490,0,0,0,0,0,0,
96,person,0.8,2,0,234,58,488,0,0,0,0,0,0,
97,person,0.84,2,0,232,66,490,0,0,0,0,0,0,
98,person,0.83,2,0,234,71,490,0,0,0,0,0,0,
99,person,0.83,2,0,236,76,491,0,0,0,0,0,0,
100,person,0.84,2,0,235,77,493,0,0,0,0,0,0,
101,person,0.87,2,0,234,78,496,0,0,0,0,0,0,
102,person,0.86,2,0,232,82,494,0,0,0,0,0,0,
103,person,0.89,2,0,231,89,494,0,0,0,0,0,0,
104,person,0.84,2,2,232,96,491,0,0,0,0,0,0,
105,person,0.86,2,9,230,104,492,0,0,0,0,0,0,
106,person,0.88,2,19,229,114,491,0,0,0,0,0,0,
107,person,0.88,2,26,229,131,492,0,0,0,0,0,0,
108,person,0.86,2,30,229,147,491,0,0,0,0,0,0,
109,person,0.87,2,34,230,157,490,0,0,0,0,0,0,
110,person,0.87,2,38,232,164,488,0,0,0,0,0,0,
111,person,0.87,2,40,235,164,486,0,0,0,0,0,0,
112,person,0.86,2,40,240,169,487,0,0,0,0,0,0,
113,person,0.85,2,45,241,170,488,0,0,0,0,0,0,
114,person,0.84,2,51,240,170,490,0,0,0,0,0,0,
115,person,0.85,2,61,240,171,488,0,0,0,0,0,0,
116,person,0.81,2,74,239,172,485,0,0,0,0,0,0,
117,person,0.8,2,87,238,173,482,0,0,0,0,0,0,
118,person,0.76,2,95,238,174,481,0,0,0,0,0,0,
119,person,0.73,2,101,240,180,479,0,0,0,0,0,0,
120,person,0.78,2,107,240,184,478,0,0,0,0,0,0,
121,person,0.77,2,111,241,191,480,0,0,0,0,0,0,
122,person,0.82,2,113,242,200,479,0,0,0,0,0,0,
123,person,0.81,2,115,245,207,477,0,0,0,0,0,0,
124,person,0.8,2,116,248,213,477,0,0,0,0,0,0,
125,person,0.8,2,121,247,217,475,0,0,0,0,0,0,
126,person,0.81,2,125,242,221,475,0,0,0,0,0,0,
127,person,0.81,2,130,238,223,475,0,0,0,0,0,0,
128,person,0.78,2,141,244,226,474,0,0,0,0,0,0,
129,person,0.76,2,148,245,229,472,0,0,0,0,0,0,
130,person,0.8,2,156,244,233,471,0,0,0,0,0,0,
131,person,0.83,2,161,247,239,470,0,0,0,0,0,0,
132,person,0.84,2,167,246,245,470,0,0,0,0,0,0,
133,person,0.86,2,171,241,251,469,0,0,0,0,0,0,
134,person,0.86,2,178,240,259,467,0,0,0,0,0,0,
135,person,0.83,2,182,241,273,467,0,0,0,0,0,0,
136,person,0.83,2,185,246,279,468,0,0,0,0,0,0,
137,person,0.83,2,188,250,282,468,0,0,0,0,0,0,
138,person,0.85,2,191,256,284,469,0,0,0,0,0,0,
139,person,0.86,2,193,257,287,469,0,0,0,0,0,0,
140,person,0.87,2,196,262,288,469,0,0,0,0,0,0,
141,person,0.86,2,200,257,289,468,0,0,0,0,0,0,
142,person,0.84,2,205,255,290,467,0,0,0,0,0,0,
143,person,0.83,2,212,254,290,465,0,0,0,0,0,0,
144,person,0.83,2,221,248,292,464,0,0,0,0,0,0,
145,person,0.8,2,229,245,294,462,0,0,0,0,0,0,
146,person,0.8,2,233,244,296,461,0,0,0,0,0,0,
147,person,0.38,2,238,243,301,461,0,0,0,0,0,0,
148,person,0.12,2,241,244,306,461,0,0,0,0,0,0,
149,person,0.81,2,242,242,309,461,0,0,0,0,0,0,
150,person,0.8,2,243,246,316,461,0,0,0,0,0,0,
151,person,0.78,2,244,249,320,461,0,0,0,0,0,0,
152,person,0.8,2,244,251,323,460,0,0,0,0,0,0,
153,person,0.79,2,248,252,326,459,0,0,0,0,0,0,
154,person,0.75,2,251,256,330,459,0,0,0,0,0,0,
155,person,0.73,2,253,255,331,459,0,0,0,0,0,0,
156,person,0.8,2,260,253,334,452,0,0,0,0,0,0,
157,person,0.8,2,266,252,338,449,0,0,0,0,0,0,
158,person,0.79,2,275,246,343,450,0,0,0,0,0,0,
159,person,0.8,2,282,244,350,450,0,0,0,0,0,0,
160,person,0.81,2,289,245,355,451,0,0,0,0,0,0,
161,person,0.8,2,292,250,360,451,0,0,0,0,0,0,
162,person,0.75,2,295,257,366,452,0,0,0,0,0,0,
163,person,0.74,2,298,262,373,451,0,0,0,0,0,0,
164,person,0.81,2,301,265,379,451,0,0,0,0,0,0,
165,person,0.83,2,303,262,383,451,0,0,0,0,0,0,
166,person,0.83,2,305,262,385,451,0,0,0,0,0,0,
167,person,0.84,2,305,262,387,451,0,0,0,0,0,0,
168,person,0.86,2,308,259,388,450,0,0,0,0,0,0,
169,person,0.82,2,312,258,389,450,0,0,0,0,0,0,
170,person,0.77,2,318,257,393,450,0,0,0,0,0,0,
171,person,0.77,2,326,257,395,448,0,0,0,0,0,0,
172,person,0.78,2,332,259,396,447,0,0,0,0,0,0,
173,person,0.81,2,337,258,398,445,0,0,0,0,0,0,
174,person,0.61,2,341,258,400,444,0,0,0,0,0,0,
175,person,0.59,2,343,256,403,444,0,0,0,0,0,0,
176,person,0.6,2,345,262,403,445,0,0,0,0,0,0,
177,person,0.77,2,348,258,409,444,0,0,0,0,0,0,
178,person,0.81,2,348,255,413,444,0,0,0,0,0,0,
179,person,0.77,2,350,255,415,444,0,0,0,0,0,0,
180,person,0.76,2,349,255,418,443,0,0,0,0,0,0,
